  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
 2006;0.089;0.006;0.095;0.008;0.016;0.001;0.059;0.018;0.042;0.151
 2007;0.282;0;0.32;0.001;0.163;0.192;0;0.005;0.009;0
 2008;0.283;0.092;0.269;0.018;0.063;0.053;0;0.006;0.01;0.088
 2009;0.297;0.024;0.239;0.026;0.071;0.092;0.027;0.051;0.001;0.038
 2010;0.12;0.025;0.019;0.104;0.097;0.227;0.236;0.001;0.029;0.076
 2011;0.149;0.081;0.035;0.578;0.002;0.001;0.124;0.004;0.022;0
 2012;0.16;0;0.033;0.093;0.391;0.064;0.192;0.016;0.002;0.028
 2013;0.53;0.001;0.26;0.168;0.015;0.004;0;0.002;0.005;0
 2014;0.147;0.049;0.138;0.011;0.013;0.044;0.018;0.078;0.092;0.007
 2015;0.319;0.564;0.006;0.046;0.01;0.011;0.001;0.027;0.01;0.002
 2016;0.417;0.076;0.002;0.01;0.004;0.156;0.024;0.135;0.055;0.065
 2017;0.076;0.453;0.002;0.017;0.103;0.014;0.026;0.011;0;0.018
 2018;0.245;0.364;0.037;0.014;0.011;0.009;0.003;0.147;0.122;0.019
 2019;0.234;0.506;0.001;0;0.009;0.001;0.003;0.092;0.027;0.07
 2020;0.253;0.179;0.006;0.011;0.248;0.002;0.082;0.007;0.114;0.03
Total;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN

